,tags,counts,Percentile Rank
557,art for kids,7,0.5646103896103896
558,parents,7,0.5646103896103896
559,parent,7,0.5646103896103896
560,teach,7,0.5646103896103896
561,grow,7,0.5646103896103896
562,educate,7,0.5646103896103896
563,smart,21,0.9327922077922078
564,genius,7,0.5646103896103896
565,brilliant,7,0.5646103896103896
566,kids describe,7,0.5646103896103896
567,to an illustrator,7,0.5646103896103896
568,cartoons,7,0.5646103896103896
569,anime,7,0.5646103896103896
570,fun2draw,7,0.5646103896103896
571,cute kids,7,0.5646103896103896
572,viral,7,0.5646103896103896
573,compilation,7,0.5646103896103896
574,adorable,7,0.5646103896103896
575,study,7,0.5646103896103896
576,c64,6,0.47153679653679653
577,trash to trasure,6,0.47153679653679653
578,breadbin,6,0.47153679653679653
579,c64c,6,0.47153679653679653
580,c64e,6,0.47153679653679653
581,commodore,6,0.47153679653679653
582,commodore 64,6,0.47153679653679653
583,commodore64,6,0.47153679653679653
584,nostalgia,6,0.47153679653679653
585,computer,53,0.987012987012987
586,computing,6,0.47153679653679653
587,repair,24,0.9445887445887445
588,old computer,6,0.47153679653679653
589,fix,6,0.47153679653679653
590,tear down,6,0.47153679653679653
591,pla,6,0.47153679653679653
592,pll,6,0.47153679653679653
593,sid,6,0.47153679653679653
594,ULA,13,0.8208874458874459
595,sid chip,6,0.47153679653679653
596,vic,6,0.47153679653679653
597,vic ii,6,0.47153679653679653
598,vic 2,6,0.47153679653679653
599,vic 20,6,0.47153679653679653
600,vic 40,6,0.47153679653679653
601,games,35,0.9752164502164502
602,chiptune,6,0.47153679653679653
603,amiga,6,0.47153679653679653
604,spectrum,6,0.47153679653679653
605,electron,6,0.47153679653679653
606,dragon32,6,0.47153679653679653
607,8bit,6,0.47153679653679653
608,console,12,0.7867965367965368
609,1980's,6,0.47153679653679653
610,1980s,6,0.47153679653679653
611,1990s,6,0.47153679653679653
612,Death Star,9,0.6803030303030303
613,Star Wars,9,0.6803030303030303
614,rocket,21,0.9327922077922078
615,jump,44,0.982034632034632
616,rc,11,0.7570346320346321
617,car,14,0.8462121212121212
618,Rocket jump rc car,5,0.379004329004329
619,remote control,8,0.6358225108225108
620,control,8,0.6358225108225108
621,world record,5,0.379004329004329
622,jato,5,0.379004329004329
623,Mythbusters,5,0.379004329004329
624,FPV,5,0.379004329004329
625,rcexplorer,5,0.379004329004329
626,windestal,5,0.379004329004329
627,windestål,5,0.379004329004329
628,david,5,0.379004329004329
629,hobbyking,5,0.379004329004329
630,desert fox,5,0.379004329004329
631,desert,5,0.379004329004329
632,fox,5,0.379004329004329
633,fast,15,0.8711038961038962
634,crash,11,0.7570346320346321
635,air,13,0.8208874458874459
636,highest,5,0.379004329004329
637,ramp,5,0.379004329004329
638,impact,18,0.9170995670995671
639,traxxas,5,0.379004329004329
640,slow motion,31,0.966991341991342
641,high speed,5,0.379004329004329
642,lipo,5,0.379004329004329
643,First person view,5,0.379004329004329
644,rockets,5,0.379004329004329
645,strapped,5,0.379004329004329
646,world,5,0.379004329004329
647,record,5,0.379004329004329
648,high,5,0.379004329004329
649,history,68,0.9942640692640693
650,violent,2,0.10313852813852814
651,machines,6,0.47153679653679653
652,SRL,2,0.10313852813852814
653,SurvivalResearchLabs,2,0.10313852813852814
654,Survival Research Labs,2,0.10313852813852814
655,SFMOMA,2,0.10313852813852814
656,groundbreaking,2,0.10313852813852814
657,Robot,9,0.6803030303030303
658,fighting,2,0.10313852813852814
659,battlebots,2,0.10313852813852814
660,James,2,0.10313852813852814
661,Cameron,2,0.10313852813852814
662,Robogeddon,2,0.10313852813852814
663,San Francisco MOMA Ribbon Cutting,2,0.10313852813852814
664,reps,4,0.2864718614718615
665,eleksmaker,4,0.2864718614718615
666,laser,24,0.9445887445887445
667,machine,6,0.47153679653679653
668,cnc,7,0.5646103896103896
669,pcb,7,0.5646103896103896
670,exposer,4,0.2864718614718615
671,3d,25,0.95
672,printing,4,0.2864718614718615
673,belt,4,0.2864718614718615
674,profile,4,0.2864718614718615
675,roller,4,0.2864718614718615
676,tension,4,0.2864718614718615
677,holder,4,0.2864718614718615
678,end,4,0.2864718614718615
679,stop,4,0.2864718614718615
680,axis,4,0.2864718614718615
681,adjust,4,0.2864718614718615
682,play,13,0.8208874458874459
683,friction,4,0.2864718614718615
684,405,7,0.5646103896103896
685,nm,7,0.5646103896103896
686,microscope,4,0.2864718614718615
687,diode,7,0.5646103896103896
688,module,7,0.5646103896103896
689,dot,4,0.2864718614718615
690,pwm,4,0.2864718614718615
691,infrared,4,0.2864718614718615
692,ir,4,0.2864718614718615
693,acrylic,4,0.2864718614718615
